date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:18	63716/63716	---M-Z	200	added ('OK')	text/html	etag:%22f8e4-5a653b6dd3500-gzip%22	http://milothemes.com/milo/milo-preview/index-slider.html	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/index-slider.html	(from )
10:56:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202022%2005:26:16%20GMT	http://milothemes.com/robots.txt		(from )
10:56:19	4056/4056	---M--	200	added ('OK')	image/png	etag:%22fd8-50fdd5ffa9500%22	http://milothemes.com/milo/milo-preview/images/icons/favicon.png	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/images/icons/favicon.png	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:19	5009/5009	---M--	200	added ('OK')	image/png	etag:%221391-50fdd5f437a00%22	http://milothemes.com/milo/milo-preview/images/icons/apple-touch-57x57.png	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/images/icons/apple-touch-57x57.png	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:20	5292/5292	---M--	200	added ('OK')	image/png	etag:%2214ac-50fdd5ec96800%22	http://milothemes.com/milo/milo-preview/images/icons/apple-touch-72x72.png	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/images/icons/apple-touch-72x72.png	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:20	6098/6098	---M--	200	added ('OK')	image/png	etag:%2217d2-50fdd5dd54400%22	http://milothemes.com/milo/milo-preview/images/icons/apple-touch-114x114.png	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/images/icons/apple-touch-114x114.png	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:24	121457/121457	---M--	200	added ('OK')	text/css	etag:%221da71-581c8f3d7c600%22	http://milothemes.com/milo/milo-preview/assets/css/bootstrap.min.css	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/assets/css/bootstrap.min.css	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:24	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-590baa16ac880%22	http://milothemes.com/milo/milo-preview/assets/fontawesome/css/font-awesome.min.css	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/assets/fontawesome/css/font-awesome.min.css	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:26	22139/22139	---M--	200	added ('OK')	text/css	etag:%22567b-5103a6093cd80%22	http://milothemes.com/milo/milo-preview/assets/miuiconfont/miuiconfont.css	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/assets/miuiconfont/miuiconfont.css	(from http://milothemes.com/milo/milo-preview/index-slider.html)
10:56:26	3863/3863	---M--	200	added ('OK')	text/css	etag:%22f17-511aa8cece080%22	http://milothemes.com/milo/milo-preview/assets/js/fancybox/jquery.fancybox.css	D:/Ashwin/Templates/Milo/milothemes.com/milo/milo-preview/assets/js/fancybox/jquery.fancybox.css	(from http://milothemes.com/milo/milo-preview/index-slider.html)
